,job=1,job=2,job=3,job=4
Chegada,0.0,0.0,0.0,0.0
Ingresso,0.0,0.0,0.0,0.0
ReqDisp,0.0,0.0,0.0,0.0
ReqMem,0.0,0.0,0.0,0.0
ReqProcess,0.0,0.0,0.0,0.0
Executando,130.0,130.0,130.0,90.0
FimProcess,0.0,0.0,0.0,0.0
LiberaProcess,0.0,0.0,0.0,0.0
LiberaMem,0.0,0.0,0.0,0.0
SaidaSis,-,-,-,-
TempoEspera,130.0,130.0,130.0,90.0
